date,plot,Orb,Norb,Sym,Pod,Ento,Japy,Camp,Iso,Dip,Chil,Pseu,Annelid,CL,OL,AC,OAC,hemip,Formicid,Pauropoda,Protura,Thrips,Adipt,Siphon,Spider,Simphyla,Enich,hymen,lep,neuroptera
10/11/2023,831,33,3,2,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,322,57,2,2,6,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,631,15,1,1,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10/11/2023,422,10,6,5,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,333,18,9,0,37,4,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/11/2023,722,0,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,611,28,4,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
10/11/2023,533,14,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,633,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,622,8,6,0,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10/11/2023,811,26,5,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,331,2,0,1,2,0,0,4,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,133,10,13,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0
10/11/2023,131,14,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,522,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,833,65,10,0,3,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10/11/2023,411,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10/11/2023,733,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,122,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,431,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,822,6,5,4,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0
10/11/2023,311,27,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,222,12,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,433,5,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/2023,531,15,1,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/2023,322,44,35,19,3,0,0,0,0,0,0,0,2,1,1,1,3,2,0,0,0,0,0,0,0,1,1,0,0,0
7/28/2023,411,11,17,5,26,0,0,0,0,0,1,0,0,4,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
7/28/2023,631,10,8,3,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/2023,811,17,5,4,4,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/2023,531,38,24,1,6,0,1,0,0,0,1,0,0,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
7/28/2023,311,31,12,9,28,1,0,0,0,0,0,0,2,6,1,0,3,1,0,0,0,0,1,0,0,1,1,1,0,0
7/28/2023,611,5,4,2,3,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/28/2023,831,10,6,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
7/28/2023,331,20,8,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
7/28/2023,431,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0
7/28/2023,833,17,21,2,2,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7/28/2023,822,21,6,3,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7/28/2023,711,15,10,3,4,4,0,0,0,0,0,0,1,0,2,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0
7/28/2023,731,29,28,9,19,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7/28/2023,111,11,12,6,24,0,0,0,0,0,0,0,4,10,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
10/11/2023,211,16,0,2,1,0,0,0,0,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7/28/2023,333,57,25,5,10,2,0,1,0,0,4,0,1,3,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
7/28/2023,211,3,6,4,4,4,0,0,0,0,0,0,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1
7/28/2023,511,30,24,7,10,3,0,0,0,0,2,0,1,3,3,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0
7/28/2023,133,23,5,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0
7/28/2023,131,48,10,8,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
7/28/2023,733,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
7/28/2023,433,42,12,10,6,1,0,3,0,0,2,0,1,1,0,0,2,0,68,0,9,0,0,0,0,1,0,0,0,0
7/28/2023,231,13,4,1,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
7/28/2023,533,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,0
7/28/2023,422,36,28,9,16,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0
7/28/2023,233,12,3,0,1,0,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7/28/2023,122,42,32,22,14,3,0,0,0,0,2,0,4,3,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
