date,plot,temp_f,moisture
7/27/2023,522,74,30.9
7/27/2023,511,74,22
7/27/2023,533,74,24.8
7/27/2023,531,74,22.4
7/27/2023,211,72,20.4
7/27/2023,222,76,31.7
7/27/2023,231,75,24.9
7/27/2023,233,74,28.2
7/27/2023,311,74,20.3
7/27/2023,322,72,26.9
7/27/2023,331,75,28.4
7/27/2023,333,74,30.5
7/27/2023,411,80,31.5
7/27/2023,422,71,30
7/27/2023,431,76,32
7/27/2023,433,76,32.9
7/27/2023,122,73,23.3
7/27/2023,111,74,11.5
7/27/2023,133,75,21.4
7/27/2023,131,76,25.6
7/27/2023,611,74,12.4
7/27/2023,622,74,25.4
7/27/2023,631,75,24.1
7/27/2023,633,74,25.8
7/27/2023,711,74,21.7
7/27/2023,722,76,33.8
7/27/2023,731,75,15.5
7/27/2023,733,74,23.7
7/27/2023,811,74,15.2
7/27/2023,822,76,23.9
7/27/2023,831,74,28.4
7/27/2023,833,74,22.6
10/7/2023,111,37,19.4
10/7/2023,122,393,21.9
10/7/2023,131,38,23.9
10/7/2023,133,39,30
10/7/2023,211,38,30.9
10/7/2023,222,38,32.4
10/7/2023,231,36,33.9
10/7/2023,233,36,29.7
10/7/2023,311,40,27
10/7/2023,322,41,32
10/7/2023,331,40,30.9
10/7/2023,333,38,30.7
10/7/2023,411,39,35.5
10/7/2023,422,38,36.5
10/7/2023,431,40,35.5
10/7/2023,433,38,35.7
10/7/2023,511,36,27.6
10/7/2023,522,38,28
10/7/2023,531,38,25
10/7/2023,533,36,27.9
10/7/2023,611,36,37
10/7/2023,622,40,25.9
10/7/2023,631,36,28.7
10/7/2023,633,38,34.3
10/7/2023,711,40,33.4
10/7/2023,722,38,33.7
10/7/2023,731,37,26.1
10/7/2023,733,37,32.3
10/7/2023,811,42,29.7
10/7/2023,822,40,30
10/7/2023,831,38,28.3
10/7/2023,833,37,29.4
