Tillage trt,Plot ID,Rep,Cover crop BM bag wt (kg),Weed BM bag wt (g),BM bag + cover crop DRY (kg),BM bag + weeds DRY (g),weed_bm_no_bag_kg,cc_bm_no_bag_kg
No-till,122,1,0.210,37.5,0.450,150.5,0.1130,0.240
No-till,122,2,0.310,36.0,0.595,159.9,0.1239,0.285
No-till,122,3,0.235,35.5,0.645,129.5,0.0940,0.410
Tilled,222,1,0.220,38.0,0.520,42.0,0.0040,0.300
Tilled,222,2,0.240,38.0,0.670,42.3,0.0043,0.430
Tilled,222,3,0.195,42.0,0.490,42.0,0.0000,0.295
No-till,322,1,0.245,32.5,0.460,106.0,0.0735,0.215
No-till,322,2,0.235,38.0,0.415,96.0,0.0580,0.180
No-till,322,3,0.230,38.0,0.435,107.0,0.0690,0.205
No-till,422,1,0.235,36.5,0.485,86.0,0.0495,0.250
No-till,422,2,0.235,38.0,0.545,57.0,0.0190,0.310
No-till,422,3,0.235,39.5,0.660,101.0,0.0615,0.425
Tilled,522,1,0.225,36.0,0.530,38.0,0.0020,0.305
Tilled,522,2,0.235,36.5,0.575,38.0,0.0015,0.340
Tilled,522,3,0.235,38.0,0.620,39.1,0.0011,0.385
No-till,622,1,0.235,38.5,0.350,193.5,0.1550,0.115
No-till,622,2,0.230,37.0,0.525,62.0,0.0250,0.295
No-till,622,3,0.265,37.0,0.575,64.5,0.0275,0.310
Tilled,722,1,0.200,39.5,0.385,46.5,0.0070,0.185
Tilled,722,2,0.235,37.5,0.530,88.5,0.0510,0.295
Tilled,722,3,0.265,38.5,0.405,89.0,0.0505,0.140
Tilled,822,1,0.225,37.0,0.475,47.0,0.0100,0.250
Tilled,822,2,0.210,36.0,0.565,37.0,0.0010,0.355
Tilled,822,3,0.185,38.0,0.475,51.0,0.0130,0.290
