plot,rep,grain_g
122,1,0.000
122,2,0.360
122,3,0.750
222,1,0.855
222,2,0.710
222,3,0.430
322,1,1.345
322,2,1.455
322,3,1.100
422,1,1.315
422,2,0.900
422,3,0.925
522,1,1.085
522,2,0.925
522,3,1.070
622,1,1.365
622,2,1.595
622,3,1.020
722,1,1.325
722,2,1.220
722,3,1.705
822,1,0.985
822,2,0.670
822,3,0.695
131,1,1.245
131,2,0.785
131,3,0.700
231,1,1.660
231,2,1.470
231,3,1.085
331,1,1.550
331,2,2.080
331,3,1.945
431,1,1.235
431,2,1.095
431,3,0.765
531,1,1.195
531,2,1.205
531,3,0.975
631,1,0.870
631,2,1.125
631,3,0.870
731,1,0.955
731,2,1.810
731,3,1.000
831,1,1.185
831,2,1.140
831,3,1.540
133,1,1.165
133,2,1.220
133,3,1.470
233,1,0.950
233,2,0.935
233,3,1.050
333,1,1.585
333,2,1.610
333,3,1.410
433,1,0.695
433,2,0.695
433,3,0.970
533,1,1.375
533,2,1.140
533,3,1.185
633,1,0.830
633,2,1.015
633,3,0.885
733,1,0.700
733,2,0.945
733,3,1.105
833,1,1.320
833,2,0.920
833,3,1.270
